domain	template	canonical_question	status	activation_status	original_status	latest_live_status	best_known_semantic_status	successful_generated_question
Architecture and Transportation	airport_operator	Which organization operates the airport {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Architecture and Transportation	bridge_architect	Who designed the bridge {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Architecture and Transportation	bridge_span_count	How many spans does the bridge {descriptor} have?	frozen	frozen	unproven_no_result	unproven_no_result	unproven_no_result	
Architecture and Transportation	building_architect	Who designed the {subject_kind} {descriptor}?	proven	active	proven	proven	proven	Who designed the arena Cromwell Events Centre?
Architecture and Transportation	lighthouse_country	In which country is the lighthouse {descriptor} located?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Architecture and Transportation	port_operator	Which organization operates the port {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Architecture and Transportation	rail_station_country	In which country is the {subject_kind} {descriptor} located?	proven	active	proven	proven	proven	In which country is the railway station Shikibu Station located?
Architecture and Transportation	terminal_opening_date	On what day, month, and year did the terminal {descriptor} open?	proven	date_answer_pilot	proven	proven	proven	On what day, month, and year did the terminal Haga station in Gothenburg Municipality open?
Architecture and Transportation	terminal_operator_country	In which country is the organization that operates the terminal {descriptor} based?	proven	blueprint	proven	proven	proven	In which country is the organization that operates the terminal Tegarayamaheiwakōen Station based?
Architecture and Transportation	train_manufacturer	Which company built the train {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Arts and Media	album_label	Which label released the album {descriptor}?	proven	blueprint	proven	proven	proven	Which label released the album Overload?
Arts and Media	album_performer	Which artist released the {subject_kind} {descriptor}?	proven	active	proven	proven	proven	Which artist released the studio album Mainstream Overtures?
Arts and Media	album_track_count	How many tracks are on the album {descriptor}?	proven	blueprint	proven	proven	proven	How many tracks are on the album Bully?
Arts and Media	animation_studio	Which studio produced the animated film {descriptor}?	proven	blueprint	proven	proven	proven	Which studio produced the animated film The Super Elfkins?
Arts and Media	artwork_creator	Who created the {subject_kind} {descriptor}?	proven	active	proven	proven	proven	Who created the mural Souvenir?
Arts and Media	comic_writer	Who wrote the comic {descriptor}?	proven	blueprint	proven	proven	proven	Who wrote the comic Dinosaurs And Non-Dinosaurs?
Arts and Media	documentary_narrator	Who narrated the documentary {descriptor}?	unproven_no_result	blueprint	unproven_no_result	unproven_no_result	unproven_no_result	
Arts and Media	film_based_on	What work was the film {descriptor} based on?	proven	blueprint	proven	proven	proven	What work was the film Cat Soup based on?
Arts and Media	film_director	Who directed the {subject_kind} {descriptor}?	proven	active	proven	proven	proven	Who directed the anime film Cosmic Princess Kaguya!?
Arts and Media	film_production_company	Which company produced the film {descriptor}?	proven	blueprint	proven	proven	proven	Which company produced the film That Time I Got Reincarnated as a Slime: The Movie – Tears of the Azure Sea?
Arts and Media	film_release_date	On what day, month, and year was the film {descriptor} released?	proven	blueprint	proven	proven	proven	On what day, month, and year was the film Takeover released?
Arts and Media	film_screenwriter	Who wrote the film {descriptor}?	proven	blueprint	proven	proven	proven	Who wrote the film Girls und Panzer: Motto Love Love Sakusen Desu! – Act 2?
