scope,status,domain,topic,answer_type,question_family,subject_type_qid,subject_type_label,date_property_pid,target_property_pid,target_property_label,answer_format,date_answer_granularity,composition_style,canonical_question_template
active,active,film_director,Arts and Media,Person,who_directed_film,Q11424,film,P577,P57,director,entity,,single_fact,Who directed the film {descriptor}?
active,active,novel_author,Language and Literature,Person,who_wrote_novel,Q8261,novel,P577,P50,author,entity,,single_fact,Who wrote the novel {descriptor}?
active,active,book_original_language,Language and Literature,Language,what_language_originally_written,Q571,book,P577,P364,original language of work,entity,,single_fact,What language was the book {descriptor} originally written in?
active,active,video_game_developer,Computer Science and AI,Organization,which_company_developed_video_game,Q7889,video game,P577,P178,developer,entity,,single_fact,Which company developed the video game {descriptor}?
active,active,software_developer,Computer Science and AI,Organization,which_company_developed_software,Q7397,software,P577,P178,developer,entity,,single_fact,Which company developed the software {descriptor}?
active,active,scholarly_article_journal,Physical Sciences,Organization,which_journal_published_article,Q13442814,scholarly article,P577,P1433,published in,entity,,single_fact,In which journal was the article {descriptor} published?
active,active,artwork_creator,Arts and Media,Person,who_created_artwork,Q838948,artwork,P571,P170,creator,entity,,single_fact,Who created the artwork {descriptor}?
active,active,album_performer,Arts and Media,Person,which_artist_released_album,Q482994,album,P577,P175,performer,entity,,single_fact,Which artist released the album {descriptor}?
active,active,building_architect,Architecture and Transportation,Person,who_designed_building,Q41176,building,P571,P84,architect,entity,,single_fact,Who designed the building {descriptor}?
active,active,airport_country,Architecture and Transportation,Place,which_country_airport_located,Q1248784,airport,P571,P17,country,entity,,single_fact,In which country is the airport {descriptor} located?
active,active,museum_country,Society and Culture,Place,which_country_museum_located,Q33506,museum,P571,P17,country,entity,,single_fact,In which country is the museum {descriptor} located?
active,active,company_founder,Economy and Business,Person,who_founded_company,Q783794,company,P571,P112,founder,entity,,single_fact,Who founded the company {descriptor}?
blueprint,blueprint,wedding_age_gap,People,Number,what_age_gap_couple,Q27020041,wedding,P585,P1534,end cause,number,,fact_join,What was the age gap between the couple in {descriptor}?
blueprint,blueprint,marriage_spouse,People,Person,who_married_person,Q171318,marriage,P580,P26,spouse,entity,,fact_join,Who married {descriptor}?
blueprint,blueprint,biography_birth_place_recent_subject,People,Place,where_person_born,Q5,human,P569,P19,place of birth,entity,,single_fact,Where was {descriptor} born?
blueprint,blueprint,biography_native_language_recent_subject,People,Language,what_native_language_person,Q5,human,P569,P103,native language,entity,,single_fact,What is the native language of {descriptor}?
blueprint,blueprint,person_first_degree_university,People,Organization,which_university_first_degree,Q5,human,P69,P69,educated at,entity,,fact_join,From which university did {descriptor} receive a degree?
blueprint,blueprint,new_park_country,Geography,Place,which_country_park_located,Q22698,park,P571,P17,country,entity,,single_fact,In which country is the park {descriptor} located?
blueprint,blueprint,new_metro_station_country,Geography,Place,which_country_station_located,Q928830,metro station,P571,P17,country,entity,,single_fact,In which country is the metro station {descriptor} located?
blueprint,blueprint,new_bridge_crosses,Geography,Place,what_body_of_water_bridge_crosses,Q12280,bridge,P571,P177,crosses,entity,,single_fact,What does the bridge {descriptor} cross?
blueprint,blueprint,new_airport_serves_city,Geography,Place,which_city_airport_serves,Q1248784,airport,P571,P131,located in administrative territorial entity,entity,,single_fact,Which city includes the airport {descriptor}?
