answer_type,label,title,avg_monthly,views_12m,months,rejection_reason,panel_accuracy,question,answer,source_file
Date,long_tail,Jimmy_Snuka,22929.416666666668,275153,12,,0.0,In what year did Jimmy Snuka make his video game debut?,2001,01_date_1700_topup_1_accepted.jsonl
Date,long_tail,Mission:_Impossible_(1966_TV_series),44826.583333333336,537919,12,,0.0,"On what month, day, and year was the complete DVD collection of the Mission: Impossible 1966 TV series released in Region 1?","December 11, 2012",01_date_1700_topup_2_accepted.jsonl
Date,long_tail,List_of_Televisa_telenovelas_(1960s),244.16666666666666,2930,12,,0.0,In what year was the Televisa telenovela titled 'Adriana' produced?,1967,01_date_1700_topup_2_accepted.jsonl
Date,long_tail,Committee_to_Protect_Journalists,1725.5833333333333,20707,12,,0.0,In what year did the Committee to Protect Journalists pause publication of its Global Impunity Index?,2025,01_date_1700_topup_1_accepted.jsonl
Date,long_tail,Book_of_Han,2427.75,29133,12,,0.0,"In what year did the Annals of Emperor Ping, as recorded in the Book of Han, end?",5 CE,01_date_1700_topup_1_accepted.jsonl
Date,long_tail,Mauretania,12337.166666666666,148046,12,,0.0,In what year was Mauretania established as a political entity?,225 BC,01_date_1700_topup_1_accepted.jsonl
Date,long_tail,Billy_Bingham,1675.9166666666667,20111,12,,0.0,In what year did Billy Bingham play for Sunderland in the First Division season when he made 36 league appearances and scored 7 league goals?,1951,01_date_1700_topup_1_accepted.jsonl
Date,long_tail,List_of_programmes_broadcast_by_Hungama_TV,2798.4166666666665,33581,12,,0.0,"On what month, day, and year did the film Fatak Patak: Sheru Aur Titan Taapu Ka Rahasya premiere?","October 1, 2017",01_date_1700_topup_2_accepted.jsonl
Date,long_tail,2022_FIFA_World_Cup_qualification_–_AFC_second_round,1775.5,21306,12,,0.0,"On what month, day, and year was Matchday 9 of the original group stage schedule for the AFC second round of 2022 FIFA World Cup qualification eventually held?","June 7, 2021",01_date_1700_topup_2_accepted.jsonl
Date,long_tail,Manfield_Non-Life_Master_Pairs,15.666666666666666,188,12,,0.0,In what year did Metin Uz and Jeffrey Naiman win the Manfield Non-Life Master Pairs national bridge championship?,1990,01_date_1700_topup_2_accepted.jsonl
Date,not_long_tail,Robin_Givens,43221.166666666664,518654,12,second_stage_grading_accuracy_threshold_exceeded,,In what year did Robin Givens appear in the film titled 'Boomerang'?,1992,01_date_1700_topup_1_rejected.jsonl
Date,not_long_tail,Sing_(Annie_Lennox_song),403.25,4839,12,second_stage_grading_accuracy_threshold_exceeded,,"In what year did the song ""Sing"" by Annie Lennox chart on the UK Physical Singles (OCC)?",2007,01_date_1700_topup_2_rejected.jsonl
Date,not_long_tail,Norm_Smith_Medal,4991.75,59901,12,second_stage_grading_accuracy_threshold_exceeded,,In what year was the Norm Smith Medal first awarded?,1979,01_date_1700_topup_1_rejected.jsonl
Date,not_long_tail,Joey_(TV_series),30860.75,370329,12,second_stage_grading_accuracy_threshold_exceeded,,"What month, day, and year was the first episode of the first season of Joey originally released?","September 9, 2004",01_date_1700_topup_1_rejected.jsonl
Date,not_long_tail,Pat_McCrory,5150.0,61800,12,second_stage_grading_accuracy_threshold_exceeded,,In what years was Pat McCrory the Republican nominee for Governor of North Carolina?,"2008, 2012, 2016",01_date_1700_topup_1_rejected.jsonl
Date,not_long_tail,2011_Major_League_Baseball_draft,4405.0,52860,12,second_stage_grading_accuracy_threshold_exceeded,,In what year was the Major League Baseball draft held that included the supplemental first round picks such as Brian Goodwin and Blake Snell?,2011,01_date_1700_topup_1_rejected.jsonl
Date,not_long_tail,Chukotka_Autonomous_Okrug,19959.666666666668,239516,12,second_stage_grading_accuracy_threshold_exceeded,,In what year did Roman Abramovich begin his term as governor of the Chukotka Autonomous Okrug?,2000,01_date_1700_topup_1_rejected.jsonl
Date,not_long_tail,Christina_Applegate,167545.08333333334,2010541,12,search_longtail_verifier_rejected,,In what year did Christina Applegate play the role of Veronica Corningstone in the film Anchorman: The Legend of Ron Burgundy?,2004,01_date_1700_topup_1_rejected.jsonl
